marking, episode: 10400, score: 500.0, mean_score: 500.00, std_score: 0.00
episode: 10400, score: 500.0, epsilon: 0.01
episode: 10405, score: 1100.0, epsilon: 0.01
episode: 10410, score: 750.0, epsilon: 0.01
episode: 10415, score: 2000.0, epsilon: 0.01
episode: 10420, score: 2250.0, epsilon: 0.01
episode: 10425, score: 2000.0, epsilon: 0.01
episode: 10430, score: 750.0, epsilon: 0.01
episode: 10435, score: 2000.0, epsilon: 0.01
episode: 10440, score: 2350.0, epsilon: 0.01
episode: 10445, score: 2000.0, epsilon: 0.01
episode: 10450, score: 2100.0, epsilon: 0.01
episode: 10455, score: 1000.0, epsilon: 0.01
episode: 10460, score: 2100.0, epsilon: 0.01
episode: 10465, score: 2000.0, epsilon: 0.01
episode: 10470, score: 2100.0, epsilon: 0.01
episode: 10475, score: 1000.0, epsilon: 0.01
episode: 10480, score: 2000.0, epsilon: 0.01
episode: 10485, score: 750.0, epsilon: 0.01
episode: 10490, score: 1000.0, epsilon: 0.01
episode: 10495, score: 2000.0, epsilon: 0.01
marking, episode: 10500, score: 2000.0, mean_score: 1567.00, std_score: 627.86
episode: 10500, score: 2000.0, epsilon: 0.01
episode: 10505, score: 2100.0, epsilon: 0.01
episode: 10510, score: 2000.0, epsilon: 0.01
episode: 10515, score: 2000.0, epsilon: 0.01
episode: 10520, score: 750.0, epsilon: 0.01
episode: 10525, score: 1000.0, epsilon: 0.01
episode: 10530, score: 2000.0, epsilon: 0.01
episode: 10535, score: 2000.0, epsilon: 0.01
episode: 10540, score: 2000.0, epsilon: 0.01
episode: 10545, score: 2000.0, epsilon: 0.01
episode: 10550, score: 2100.0, epsilon: 0.01
episode: 10555, score: 850.0, epsilon: 0.01
episode: 10560, score: 750.0, epsilon: 0.01
episode: 10565, score: 2000.0, epsilon: 0.01
episode: 10570, score: 500.0, epsilon: 0.01
episode: 10575, score: 1000.0, epsilon: 0.01
episode: 10580, score: 750.0, epsilon: 0.01
episode: 10585, score: 2100.0, epsilon: 0.01
episode: 10590, score: 1100.0, epsilon: 0.01
episode: 10595, score: 750.0, epsilon: 0.01
marking, episode: 10600, score: 2000.0, mean_score: 1662.00, std_score: 616.08
episode: 10600, score: 2000.0, epsilon: 0.01
episode: 10605, score: 2000.0, epsilon: 0.01
episode: 10610, score: 2000.0, epsilon: 0.01
episode: 10615, score: 850.0, epsilon: 0.01
episode: 10620, score: 2000.0, epsilon: 0.01
episode: 10625, score: 2000.0, epsilon: 0.01
episode: 10630, score: 2000.0, epsilon: 0.01
episode: 10635, score: 2100.0, epsilon: 0.01
episode: 10640, score: 2000.0, epsilon: 0.01
episode: 10645, score: 1100.0, epsilon: 0.01
episode: 10650, score: 2000.0, epsilon: 0.01
episode: 10655, score: 2000.0, epsilon: 0.01
episode: 10660, score: 2000.0, epsilon: 0.01
episode: 10665, score: 2000.0, epsilon: 0.01
episode: 10670, score: 1000.0, epsilon: 0.01
episode: 10675, score: 2000.0, epsilon: 0.01
episode: 10680, score: 2250.0, epsilon: 0.01
episode: 10685, score: 2000.0, epsilon: 0.01
episode: 10690, score: 750.0, epsilon: 0.01
episode: 10695, score: 500.0, epsilon: 0.01
marking, episode: 10700, score: 2000.0, mean_score: 1532.50, std_score: 642.70
episode: 10700, score: 2000.0, epsilon: 0.01
episode: 10705, score: 2000.0, epsilon: 0.01
episode: 10710, score: 2000.0, epsilon: 0.01
episode: 10715, score: 2000.0, epsilon: 0.01
episode: 10720, score: 2000.0, epsilon: 0.01
episode: 10725, score: 2000.0, epsilon: 0.01
episode: 10730, score: 750.0, epsilon: 0.01
episode: 10735, score: 2000.0, epsilon: 0.01
episode: 10740, score: 2000.0, epsilon: 0.01
episode: 10745, score: 2000.0, epsilon: 0.01
episode: 10750, score: 2000.0, epsilon: 0.01
episode: 10755, score: 1000.0, epsilon: 0.01
episode: 10760, score: 1000.0, epsilon: 0.01
episode: 10765, score: 2000.0, epsilon: 0.01
episode: 10770, score: 500.0, epsilon: 0.01
episode: 10775, score: 2000.0, epsilon: 0.01
episode: 10780, score: 2000.0, epsilon: 0.01
episode: 10785, score: 2000.0, epsilon: 0.01
episode: 10790, score: 2000.0, epsilon: 0.01
episode: 10795, score: 2100.0, epsilon: 0.01
marking, episode: 10800, score: 2000.0, mean_score: 1543.00, std_score: 650.85
episode: 10800, score: 2000.0, epsilon: 0.01
episode: 10805, score: 2000.0, epsilon: 0.01
episode: 10810, score: 750.0, epsilon: 0.01
episode: 10815, score: 2000.0, epsilon: 0.01
episode: 10820, score: 2000.0, epsilon: 0.01
episode: 10825, score: 2000.0, epsilon: 0.01
episode: 10830, score: 2000.0, epsilon: 0.01
episode: 10835, score: 2000.0, epsilon: 0.01
episode: 10840, score: 2100.0, epsilon: 0.01
episode: 10845, score: 2100.0, epsilon: 0.01
episode: 10850, score: 2000.0, epsilon: 0.01
episode: 10855, score: 1000.0, epsilon: 0.01
episode: 10860, score: 2000.0, epsilon: 0.01
episode: 10865, score: 2000.0, epsilon: 0.01
episode: 10870, score: 2100.0, epsilon: 0.01
episode: 10875, score: 2000.0, epsilon: 0.01
episode: 10880, score: 2000.0, epsilon: 0.01
episode: 10885, score: 2100.0, epsilon: 0.01
episode: 10890, score: 1000.0, epsilon: 0.01
episode: 10895, score: 2000.0, epsilon: 0.01
marking, episode: 10900, score: 2000.0, mean_score: 1687.00, std_score: 575.01
episode: 10900, score: 2000.0, epsilon: 0.01
episode: 10905, score: 2000.0, epsilon: 0.01
episode: 10910, score: 750.0, epsilon: 0.01
episode: 10915, score: 2100.0, epsilon: 0.01
episode: 10920, score: 2100.0, epsilon: 0.01
episode: 10925, score: 2000.0, epsilon: 0.01
episode: 10930, score: 2000.0, epsilon: 0.01
