marking, episode: 0, score: 350.0, mean_score: 350.00, std_score: 0.00
episode: 5, score: 0.0, epsilon: 0.96
episode: 10, score: 200.0, epsilon: 0.93
episode: 15, score: 500.0, epsilon: 0.90
episode: 20, score: 250.0, epsilon: 0.87
episode: 25, score: 0.0, epsilon: 0.84
episode: 30, score: 350.0, epsilon: 0.81
episode: 35, score: 0.0, epsilon: 0.79
episode: 40, score: 0.0, epsilon: 0.76
episode: 45, score: 250.0, epsilon: 0.74
episode: 50, score: 0.0, epsilon: 0.71
episode: 55, score: 250.0, epsilon: 0.69
episode: 60, score: 100.0, epsilon: 0.67
episode: 65, score: 0.0, epsilon: 0.65
episode: 70, score: 100.0, epsilon: 0.63
episode: 75, score: 250.0, epsilon: 0.60
episode: 80, score: 250.0, epsilon: 0.58
episode: 85, score: 350.0, epsilon: 0.56
episode: 90, score: 0.0, epsilon: 0.55
episode: 95, score: 100.0, epsilon: 0.53
marking, episode: 100, score: 500.0, mean_score: 178.00, std_score: 182.94
episode: 100, score: 500.0, epsilon: 0.51
episode: 105, score: 100.0, epsilon: 0.49
episode: 110, score: 100.0, epsilon: 0.47
episode: 115, score: 550.0, epsilon: 0.46
episode: 120, score: 0.0, epsilon: 0.44
episode: 125, score: 0.0, epsilon: 0.43
episode: 130, score: 250.0, epsilon: 0.41
episode: 135, score: 0.0, epsilon: 0.40
episode: 140, score: 0.0, epsilon: 0.38
episode: 145, score: 350.0, epsilon: 0.37
episode: 150, score: 350.0, epsilon: 0.36
episode: 155, score: 350.0, epsilon: 0.34
episode: 160, score: 100.0, epsilon: 0.33
episode: 165, score: 450.0, epsilon: 0.32
episode: 170, score: 0.0, epsilon: 0.31
episode: 175, score: 250.0, epsilon: 0.30
episode: 180, score: 250.0, epsilon: 0.29
episode: 185, score: 350.0, epsilon: 0.28
episode: 190, score: 250.0, epsilon: 0.27
episode: 195, score: 100.0, epsilon: 0.26
marking, episode: 200, score: 200.0, mean_score: 192.00, std_score: 205.03
episode: 200, score: 200.0, epsilon: 0.25
episode: 205, score: 500.0, epsilon: 0.24
episode: 210, score: 100.0, epsilon: 0.23
episode: 215, score: 0.0, epsilon: 0.22
episode: 220, score: 250.0, epsilon: 0.22
episode: 225, score: 0.0, epsilon: 0.21
episode: 230, score: 200.0, epsilon: 0.20
episode: 235, score: 0.0, epsilon: 0.19
episode: 240, score: 200.0, epsilon: 0.19
episode: 245, score: 0.0, epsilon: 0.18
episode: 250, score: 0.0, epsilon: 0.17
episode: 255, score: 0.0, epsilon: 0.17
episode: 260, score: 350.0, epsilon: 0.16
episode: 265, score: 100.0, epsilon: 0.15
episode: 270, score: 200.0, epsilon: 0.15
episode: 275, score: 250.0, epsilon: 0.14
episode: 280, score: 0.0, epsilon: 0.14
episode: 285, score: 750.0, epsilon: 0.13
episode: 290, score: 100.0, epsilon: 0.13
episode: 295, score: 250.0, epsilon: 0.12
marking, episode: 300, score: 250.0, mean_score: 206.00, std_score: 213.69
episode: 300, score: 250.0, epsilon: 0.12
episode: 305, score: 500.0, epsilon: 0.11
episode: 310, score: 0.0, epsilon: 0.11
episode: 315, score: 250.0, epsilon: 0.11
episode: 320, score: 500.0, epsilon: 0.10
episode: 325, score: 0.0, epsilon: 0.10
episode: 330, score: 450.0, epsilon: 0.09
episode: 335, score: 250.0, epsilon: 0.09
episode: 340, score: 100.0, epsilon: 0.09
episode: 345, score: 600.0, epsilon: 0.08
episode: 350, score: 500.0, epsilon: 0.08
episode: 355, score: 100.0, epsilon: 0.08
episode: 360, score: 350.0, epsilon: 0.07
episode: 365, score: 500.0, epsilon: 0.07
episode: 370, score: 0.0, epsilon: 0.07
episode: 375, score: 0.0, epsilon: 0.07
episode: 380, score: 250.0, epsilon: 0.06
episode: 385, score: 250.0, epsilon: 0.06
episode: 390, score: 100.0, epsilon: 0.06
episode: 395, score: 0.0, epsilon: 0.06
marking, episode: 400, score: 250.0, mean_score: 223.00, std_score: 204.87
episode: 400, score: 250.0, epsilon: 0.06
episode: 405, score: 0.0, epsilon: 0.05
episode: 410, score: 250.0, epsilon: 0.05
episode: 415, score: 100.0, epsilon: 0.05
episode: 420, score: 100.0, epsilon: 0.05
episode: 425, score: 500.0, epsilon: 0.05
episode: 430, score: 500.0, epsilon: 0.05
episode: 435, score: 250.0, epsilon: 0.05
episode: 440, score: 500.0, epsilon: 0.04
episode: 445, score: 500.0, epsilon: 0.04
episode: 450, score: 250.0, epsilon: 0.04
episode: 455, score: 0.0, epsilon: 0.04
episode: 460, score: 350.0, epsilon: 0.04
episode: 465, score: 250.0, epsilon: 0.04
episode: 470, score: 350.0, epsilon: 0.04
episode: 475, score: 100.0, epsilon: 0.04
episode: 480, score: 0.0, epsilon: 0.04
episode: 485, score: 350.0, epsilon: 0.04
episode: 490, score: 350.0, epsilon: 0.04
episode: 495, score: 0.0, epsilon: 0.03
marking, episode: 500, score: 500.0, mean_score: 238.00, std_score: 214.02
episode: 500, score: 500.0, epsilon: 0.03
episode: 505, score: 100.0, epsilon: 0.03
episode: 510, score: 0.0, epsilon: 0.03
episode: 515, score: 250.0, epsilon: 0.03
episode: 520, score: 0.0, epsilon: 0.03
episode: 525, score: 500.0, epsilon: 0.03
episode: 530, score: 500.0, epsilon: 0.03
episode: 535, score: 600.0, epsilon: 0.03
episode: 540, score: 500.0, epsilon: 0.03
episode: 545, score: 0.0, epsilon: 0.03
episode: 550, score: 250.0, epsilon: 0.03
episode: 555, score: 0.0, epsilon: 0.03
episode: 560, score: 0.0, epsilon: 0.03
episode: 565, score: 450.0, epsilon: 0.03
episode: 570, score: 250.0, epsilon: 0.03
episode: 575, score: 250.0, epsilon: 0.02
episode: 580, score: 350.0, epsilon: 0.02
episode: 585, score: 250.0, epsilon: 0.02
episode: 590, score: 250.0, epsilon: 0.02
episode: 595, score: 250.0, epsilon: 0.02
marking, episode: 600, score: 0.0, mean_score: 238.50, std_score: 218.16
episode: 600, score: 0.0, epsilon: 0.02
episode: 605, score: 0.0, epsilon: 0.02
episode: 610, score: 0.0, epsilon: 0.02
episode: 615, score: 250.0, epsilon: 0.02
episode: 620, score: 500.0, epsilon: 0.02
episode: 625, score: 250.0, epsilon: 0.02
episode: 630, score: 750.0, epsilon: 0.02
episode: 635, score: 250.0, epsilon: 0.02
episode: 640, score: 450.0, epsilon: 0.02
episode: 645, score: 0.0, epsilon: 0.02
episode: 650, score: 100.0, epsilon: 0.02
episode: 655, score: 500.0, epsilon: 0.02
episode: 660, score: 100.0, epsilon: 0.02
episode: 665, score: 0.0, epsilon: 0.02
episode: 670, score: 0.0, epsilon: 0.02
episode: 675, score: 0.0, epsilon: 0.02
episode: 680, score: 600.0, epsilon: 0.02
episode: 685, score: 350.0, epsilon: 0.02
episode: 690, score: 100.0, epsilon: 0.02
episode: 695, score: 0.0, epsilon: 0.02
marking, episode: 700, score: 100.0, mean_score: 315.00, std_score: 241.71
episode: 700, score: 100.0, epsilon: 0.02
episode: 705, score: 600.0, epsilon: 0.02
episode: 710, score: 250.0, epsilon: 0.02
episode: 715, score: 250.0, epsilon: 0.02
episode: 720, score: 350.0, epsilon: 0.02
episode: 725, score: 350.0, epsilon: 0.02
episode: 730, score: 500.0, epsilon: 0.02
episode: 735, score: 250.0, epsilon: 0.01
episode: 740, score: 750.0, epsilon: 0.01
episode: 745, score: 100.0, epsilon: 0.01
episode: 750, score: 500.0, epsilon: 0.01
episode: 755, score: 0.0, epsilon: 0.01
episode: 760, score: 100.0, epsilon: 0.01
episode: 765, score: 350.0, epsilon: 0.01
episode: 770, score: 500.0, epsilon: 0.01
episode: 775, score: 250.0, epsilon: 0.01
episode: 780, score: 350.0, epsilon: 0.01
episode: 785, score: 0.0, epsilon: 0.01
episode: 790, score: 950.0, epsilon: 0.01
episode: 795, score: 350.0, epsilon: 0.01
marking, episode: 800, score: 0.0, mean_score: 399.50, std_score: 239.22
episode: 800, score: 0.0, epsilon: 0.01
episode: 805, score: 750.0, epsilon: 0.01
episode: 810, score: 250.0, epsilon: 0.01
episode: 815, score: 250.0, epsilon: 0.01
episode: 820, score: 250.0, epsilon: 0.01
episode: 825, score: 250.0, epsilon: 0.01
episode: 830, score: 0.0, epsilon: 0.01
episode: 835, score: 0.0, epsilon: 0.01
episode: 840, score: 0.0, epsilon: 0.01
episode: 845, score: 100.0, epsilon: 0.01
episode: 850, score: 350.0, epsilon: 0.01
episode: 855, score: 500.0, epsilon: 0.01
episode: 860, score: 250.0, epsilon: 0.01
episode: 865, score: 350.0, epsilon: 0.01
episode: 870, score: 250.0, epsilon: 0.01
episode: 875, score: 500.0, epsilon: 0.01
episode: 880, score: 500.0, epsilon: 0.01
episode: 885, score: 450.0, epsilon: 0.01
episode: 890, score: 250.0, epsilon: 0.01
episode: 895, score: 250.0, epsilon: 0.01
marking, episode: 900, score: 250.0, mean_score: 316.00, std_score: 224.37
episode: 900, score: 250.0, epsilon: 0.01
episode: 905, score: 350.0, epsilon: 0.01
episode: 910, score: 250.0, epsilon: 0.01
episode: 915, score: 700.0, epsilon: 0.01
episode: 920, score: 450.0, epsilon: 0.01
episode: 925, score: 250.0, epsilon: 0.01
episode: 930, score: 500.0, epsilon: 0.01
episode: 935, score: 350.0, epsilon: 0.01
episode: 940, score: 600.0, epsilon: 0.01
episode: 945, score: 500.0, epsilon: 0.01
episode: 950, score: 600.0, epsilon: 0.01
episode: 955, score: 350.0, epsilon: 0.01
episode: 960, score: 250.0, epsilon: 0.01
episode: 965, score: 250.0, epsilon: 0.01
episode: 970, score: 600.0, epsilon: 0.01
episode: 975, score: 450.0, epsilon: 0.01
episode: 980, score: 600.0, epsilon: 0.01
episode: 985, score: 500.0, epsilon: 0.01
episode: 990, score: 0.0, epsilon: 0.01
episode: 995, score: 500.0, epsilon: 0.01
marking, episode: 1000, score: 250.0, mean_score: 373.50, std_score: 261.48
episode: 1000, score: 250.0, epsilon: 0.01
episode: 1005, score: 250.0, epsilon: 0.01
episode: 1010, score: 250.0, epsilon: 0.01
episode: 1015, score: 350.0, epsilon: 0.01
episode: 1020, score: 350.0, epsilon: 0.01
episode: 1025, score: 600.0, epsilon: 0.01
episode: 1030, score: 500.0, epsilon: 0.01
episode: 1035, score: 250.0, epsilon: 0.01
episode: 1040, score: 600.0, epsilon: 0.01
episode: 1045, score: 600.0, epsilon: 0.01
episode: 1050, score: 250.0, epsilon: 0.01
episode: 1055, score: 700.0, epsilon: 0.01
episode: 1060, score: 250.0, epsilon: 0.01
episode: 1065, score: 500.0, epsilon: 0.01
episode: 1070, score: 350.0, epsilon: 0.01
episode: 1075, score: 250.0, epsilon: 0.01
episode: 1080, score: 0.0, epsilon: 0.01
episode: 1085, score: 500.0, epsilon: 0.01
episode: 1090, score: 500.0, epsilon: 0.01
episode: 1095, score: 250.0, epsilon: 0.01
marking, episode: 1100, score: 500.0, mean_score: 404.50, std_score: 198.88
episode: 1100, score: 500.0, epsilon: 0.01
episode: 1105, score: 600.0, epsilon: 0.01
episode: 1110, score: 500.0, epsilon: 0.01
episode: 1115, score: 850.0, epsilon: 0.01
episode: 1120, score: 500.0, epsilon: 0.01
episode: 1125, score: 0.0, epsilon: 0.01
episode: 1130, score: 600.0, epsilon: 0.01
episode: 1135, score: 250.0, epsilon: 0.01
episode: 1140, score: 250.0, epsilon: 0.01
episode: 1145, score: 750.0, epsilon: 0.01
episode: 1150, score: 350.0, epsilon: 0.01
episode: 1155, score: 0.0, epsilon: 0.01
episode: 1160, score: 500.0, epsilon: 0.01
episode: 1165, score: 350.0, epsilon: 0.01
episode: 1170, score: 350.0, epsilon: 0.01
episode: 1175, score: 950.0, epsilon: 0.01
episode: 1180, score: 600.0, epsilon: 0.01
episode: 1185, score: 250.0, epsilon: 0.01
episode: 1190, score: 350.0, epsilon: 0.01
episode: 1195, score: 1100.0, epsilon: 0.01
marking, episode: 1200, score: 500.0, mean_score: 473.00, std_score: 242.74
episode: 1200, score: 500.0, epsilon: 0.01
episode: 1205, score: 0.0, epsilon: 0.01
episode: 1210, score: 500.0, epsilon: 0.01
episode: 1215, score: 500.0, epsilon: 0.01
episode: 1220, score: 0.0, epsilon: 0.01
episode: 1225, score: 0.0, epsilon: 0.01
episode: 1230, score: 500.0, epsilon: 0.01
episode: 1235, score: 500.0, epsilon: 0.01
episode: 1240, score: 850.0, epsilon: 0.01
episode: 1245, score: 950.0, epsilon: 0.01
